Playlist;Artist;Track
Post-Rock;Do Make Say Think;A Tender History in Rust
;Gastr Del Sol;Black Horse
;Labradford;P
;Maybeshewill;He Films the Clouds Part 2
;;Red Paper Lantern
;Mogwai;Hunted By a Freak
;;I Know You Are but What Am I
;;Auto Rock
;;Glasgow Mega-Snake
;;Acid Food
;;Take Me Somewhere Nice
;;Yes! I Am a Long Way From Home
;;Tracy
;;R U Still in 2 It
;Sigu Rós;Vaka
;;Samskeyti
;;Njòsnavélin
;;Brennisteinn
;;Kveikur
;;Glosoli
;;Hoppipolla
;;Sé lest
;;Saeglopur
;;Svefn-g-englar
;;Staràlfur
;;Flugufrelsarinn
;;Ný Batteri
;;Viorar vel til loftarasa
;;Ageatis Byjrun
;Talk Talk;Ascension Day
;;After the Flood
;;The Rainbow
;;Eden
;;Desire
;The Album Leaf;TwentyTwoFourteen
;This Will Destroy You;The World is Our ___
;;I Believe in Your Victory
;Tortoise;Glass Museum
;;TNT
;;I Set My Face to th Hillside
;Mùm;Green Grass of Tunnel
;toe;Two Moons
;World’s End Girlfriend;Les enfants du paradis
