indice	nom						Nouveau nom	Airsonic	Ampache	
1	Alternative Rock / Metal					1	Alternative Rock / Metal	Alternative Rock / Metal (10)		
2	Art Pop / Synthpop					2	Art Pop / Synthpop	Art Pop / Synthpop (2)	Art Pop Synthpop.m3u	
3	bill wurtz					3	Britpop	Britpop (32)	Britpop Alt Rock.m3u	
4	Black Metal					4	Classique Contemporain	Classique Contemporain (24)	Classique Contemporain.m3u	
5	Britpop					5	Death Metal Mélodique	Death Metal mélodique (24)	Death Metal Melodique.m3u	
6	Classique Contemporain					6	Electro / Ambient	Electro (3)		
7	Death Metal Mélodique					7	Electro / Downtempo	Electro / Ambient (30)	Ambient.m3u	
8	Doom / Gothic Metal					8	Electro / Techno	Electro / Downtempo (21)	Downtempo.m3u	
9	Electro / Ambient					9	FR	Electro / Techno (5)	Techno.m3u	
10	Electro / Downtempo					10	Folk / Pop / Rock	FR (82)	FR.m3u	
11	Electro / Electropop					11	Grunge	Folk / Pop / Rock (58)	Folk Pop Rock.m3u	
12	Electro / Techno					12	Guitare	Grunge (12)	Grunge.m3u	
13	Folk / Pop / Rock					13	Hard Rock / Heavy Metal	Guitare (23)	Guitar.m3u	
14	FR					14	Hip-Hop	Hard Rock / Heavy Metal (4)	Hard Rock Heavy Metal.m3u	
15	Grunge					15	Indie Folk	Hip-Hop (34)	Hip-Hop.m3u	
16	Guitare					16	Indie Pop / Indie Rock	Indie Folk (3)	Indie Folk.m3u	
17	Hard Rock / Heavy Metal					17	Jazz / Classique	Indie Pop / Indie Rock (64)	Indie Pop.m3u	Indie Rock.m3u
18	Hip-Hop					18	Jazz / Piano	Jazz Classique (2)	Jazz.m3u	
19	Indie Folk					19	Noël	Jazz Piano (60)	Jazz Piano.m3u	
20	Indie Pop / Indie Rock					20	Nu Jazz	Noël (6)	Noel.m3u	
21	Jazz / Classique					21	Pop Rock	Nu Jazz (12)	Nu Jazz.m3u	
22	Jazz / Contemporain					22	Post-Metal	Pop Rock (27)	Pop Rock.m3u	
23	Jazz / Piano					23	Post-Punk / New Wave	Post-Metal (29)	Post-Metal.m3u	
24	Metal Progressif / Death Metal					24	Punk / Post-Hardware	Post-Punk / New Wave (10)	Post-Punk New Wave.m3u	
25	New Funk					25	Punk Rock / Sak	Punk / Post-Hardcore (2)	Punk Post Hardcore.m3u	
26	Noël					26	R&B	Punk Rock / Ska (30)	Punk Rock Ska.m3u	
27	Nu Jazz					27	Reggae	R&B (63)	RnB.m3u	
28	OST					28	Rock Progressif	Reggae (13)	Reggae.m3u	
29	Pop Rock					29	Rock Progressif Moderne	Rock Progressif (13)	Rock Progressif.m3u	
30	Post-Metal					30	Rock Psychédélique	Rock Progressif Moderne (3)	Rock Progressif Moderne.m3u	
31	Post-Punk / New Wave					31	Slowcore	Rock Psychédélique (11)	Psychedelic Rock.m3u	
32	Post-Rock					32	Soul / Funk	Slowcore (26)	Slowcore.m3u	
33	Power Metal					33	Trip-Hop	Soul / Funk (2)	Soul  Funk.m3u	
34	Punk / Post-Hardware					34	World Music	Trip-Hop (12)	Trip Hop.m3u	
35	Punk Rock / Sak					35	Black Metal	World Music (17)	World Music.m3u	
36	R&B					36	Doom / Gothic Metal		Black Metal.m3u	
37	Reggae					37	Electro / Electropop		Doom Gothic Metal.m3u	
38	Rock Progressif					38	Jazz / Contemporain		Electropop.m3u	
39	Rock Progressif Moderne					39	Metal Progressif / Death Metal		Jazz Contemporain.m3u	
40	Rock Psychédélique					40	New Funk		Metal Progressif Death Metal.m3u	
41	Slowcore					41	OST		New Funk.m3u	
42	Soul / Funk					42	Post-Rock		OST.m3u	
43	Trip-Hop					43	Power Metal		Post-Rock.m3u	
44	World Music					44	XTC		Power Metal .m3u	
45	XTC					45	bill wurtz		XTC.m3u	
									bill wurtz.m3u	
