1;Alternative Rock / Metal
2;Art Pop / Synthpop
3;bill wurtz
4;Black Metal
5;Britpop
6;Classique Contemporain
7;Death Metal Mélodique
8;Doom / Gothic Metal
9;Electro / Ambient
10;Electro / Downtempo
11;Electro / Electropop
12;Electro / Techno
13;Folk / Pop / Rock
14;FR
15;Grunge
16;Guitare
17;Hard Rock / Heavy Metal
18;Hip-Hop
19;Indie Folk
20;Indie Pop / Indie Rock
21;Jazz / Classique
22;Jazz / Contemporain
23;Jazz / Piano
24;Metal Progressif / Death Metal
25;New Funk
26;Noël
27;Nu Jazz
28;OST
29;Pop Rock
30;Post-Metal
31;Post-Punk / New Wave
32;Post-Rock
33;Power Metal
34;Punk / Post-Hardcore
35;Punk Rock / Ska
36;R&B
37;Reggae
38;Rock Progressif
39;Rock Progressif Moderne
40;Rock Psychédélique
41;Slowcore
42;Soul / Funk
43;Trip-Hop
44;World Music
45;XTC
46;Electro / House
47;Autres
48;Death Metal / Thrash Metal
