CHVRCHES - Leave a Trace;/home/david/nfs/Toshiba/Musique/CHVRCHΞS/Every Open Eye/02 Leave a Trace.mp3
Imagine Dragons - Radioactive;/home/david/MISSING
Francesco Bearzatti - Long Train Running;/home/david/nfs/Toshiba/Musique/Francesco Bearzatti Tinissima 4et/This Machine Kills Fascists/04 Long Train Running.flac
...And You Will Know Us by the Trail of Dead - Relative Ways;/home/david/nfs/Toshiba/Musique/…And You Will Know Us by the Trail of Dead/Source Tags & Codes/09 Relative Ways.mp3
A.A.L. - Some Kind Of Game;/home/david/nfs/Toshiba/Musique/A.A.L_/2012-2017/03 Some Kind of Game.mp3
A.A.L. - This Old House Is All I Have;/home/david/nfs/Toshiba/Musique/A.A.L_/2012-2017/01 This Old House Is All I Have.mp3
Air - Playground Love;/home/david/nfs/Toshiba/Musique/Air/The Virgin Suicides/01 Playground Love.mp3
Alcest - Souvenirs d'un autre monde;/home/david/nfs/Toshiba/Musique/Alcest/Souvenirs d’un autre monde/02 Souvenirs d’un autre monde.mp3
Alex G - Bug;/home/david/nfs/Toshiba/Musique/Alex G/Beach Music/02 Bug.mp3
Alex Guilbert Trio - New Slang;/home/david/MISSING
Ali Farka Touré and Ry Cooder - Soukora;/home/david/nfs/Toshiba/Musique/Ali Farka Touré with Ry Cooder/Talking Timbuktu/02 Soukora.mp3
Anathema - Untouchable Part 1;/home/david/nfs/Toshiba/Musique/Anathema/Weather Systems/01 Untouchable, Part 1.mp3
Anathema - Untouchable Part 2;/home/david/nfs/Toshiba/Musique/Anathema/Weather Systems/02 Untouchable, Part 2.mp3
Ariel Pink's Haunted Graffiti - Round and Round;/home/david/nfs/Toshiba/Musique/Ariel Pink’s Haunted Graffiti/Before Today/05 Round and Round.mp3
At the Drive-In - Arcarsenal;/home/david/nfs/Toshiba/Musique/At the Drive‐In/Relationship of Command/01 Arcarsenal.mp3
At the Drive-In - Invalid Litter Dept.;/home/david/nfs/Toshiba/Musique/At the Drive‐In/Relationship of Command/05 Invalid Litter Dept_.mp3
At the Drive-In - One Armed Scissor;/home/david/nfs/Toshiba/Musique/At the Drive‐In/Relationship of Command/03 One Armed Scissor.mp3
At the Drive-In - Pattern Against User;/home/david/nfs/Toshiba/Musique/At the Drive‐In/Relationship of Command/02 Pattern Against User.mp3
Beck - Dreams;/home/david/MISSING
Bill Evans - Autumn Leaves;/home/david/nfs/Toshiba/Musique/Bill Evans Trio/Portrait in Jazz/02 Autumn Leaves.mp3
