CHVRCHES - Leave a Trace;/home/david/nfs/WDC14/Musique/CHVRCHΞS/Every Open Eye/02 Leave a Trace.mp3
Imagine Dragons - Radioactive;/tmp/MISSING
Francesco Bearzatti - Long Train Running;/home/david/nfs/WDC14/Musique/Francesco Bearzatti Tinissima 4et/This Machine Kills Fascists/04 Long Train Running.flac
...And You Will Know Us by the Trail of Dead - Relative Ways;/home/david/nfs/WDC14/Musique/…And You Will Know Us by the Trail of Dead/Source Tags & Codes/09 Relative Ways.mp3
A.A.L. - Some Kind Of Game;/home/david/nfs/WDC14/Musique/A.A.L_/2012-2017/03 Some Kind of Game.mp3
A.A.L. - This Old House Is All I Have;/home/david/nfs/WDC14/Musique/A.A.L_/2012-2017/01 This Old House Is All I Have.mp3
Air - Playground Love;/home/david/nfs/WDC14/Musique/Air/The Virgin Suicides/01 Playground Love.mp3
Alcest - Souvenirs d'un autre monde;/home/david/nfs/WDC14/Musique/Alcest/Souvenirs d’un autre monde/02 Souvenirs d’un autre monde.mp3
Alex G - Bug;/home/david/DUPLICATE
Alex Guilbert Trio - New Slang;/tmp/MISSING
Ali Farka Touré and Ry Cooder - Soukora;/home/david/nfs/WDC14/Musique/Ali Farka Touré with Ry Cooder/Talking Timbuktu/02 Soukora.mp3
Anathema - Untouchable Part 1;/home/david/nfs/WDC14/Musique/Anathema/Weather Systems/01 Untouchable, Part 1.mp3
Anathema - Untouchable Part 2;/home/david/nfs/WDC14/Musique/Anathema/Weather Systems/02 Untouchable, Part 2.mp3
Ariel Pink's Haunted Graffiti - Round and Round;/home/david/nfs/WDC14/Musique/Ariel Pink’s Haunted Graffiti/Before Today/05 Round and Round.mp3
At the Drive-In - Arcarsenal;/home/david/nfs/WDC14/Musique/At the Drive‐In/Relationship of Command/01 Arcarsenal.mp3
At the Drive-In - Invalid Litter Dept.;/home/david/nfs/WDC14/Musique/At the Drive‐In/Relationship of Command/05 Invalid Litter Dept_.mp3
At the Drive-In - One Armed Scissor;/home/david/nfs/WDC14/Musique/At the Drive‐In/Relationship of Command/03 One Armed Scissor.mp3
At the Drive-In - Pattern Against User;/home/david/nfs/WDC14/Musique/At the Drive‐In/Relationship of Command/02 Pattern Against User.mp3
Bill Evans - Autumn Leaves;/home/david/nfs/WDC14/Musique/Bill Evans Trio/Portrait in Jazz/02 Autumn Leaves.mp3
Bill Evans - My Foolish Heart;/home/david/nfs/WDC14/Musique/Bill Evans Trio/Waltz for Debby/01 My Foolish Heart.mp3
Bill Evans - Peri's Scope;/home/david/nfs/WDC14/Musique/Bill Evans Trio/Portrait in Jazz/05 Peri’s Scope.mp3
Bill Withers - Ain't No Sunshine;/home/david/nfs/WDC14/Musique/Bill Withers/Just As I Am/02 Ain’t No Sunshine.mp3
Bill Withers - Grandma's Hands;/home/david/nfs/WDC14/Musique/Bill Withers/Just As I Am/03 Grandma’s Hands.mp3
Bob Dylan - I Want You;/home/david/nfs/WDC14/Musique/Bob Dylan/Blonde on Blonde/05 I Want You.mp3
Brad Mehldau - Aquelas Coisas Todas;/home/david/nfs/WDC14/Musique/Brad Mehldau Trio/Where Do You Start/10 Aquelas Coisas Todas.flac
Brad Mehldau - Everything in Its Right Place;/home/david/nfs/WDC14/Musique/Brad Mehldau Trio/Anything Goes/08 Everything in Its Right Place.mp3
