1;Fear Factory;Alternative Rock / Metal
2;Depeche Mode;Art Pop / Synthpop
2;Kate Bush;Art Pop / Synthpop
2;Pet Shop Boys;Art Pop / Synthpop
2;Talk Talk;Art Pop / Synthpop
2;Weyes Blood;Art Pop / Synthpop
4;Agalloch;Black Metal
7;Ensiferum;Death Metal Mélodique
7;In Flames;Death Metal Mélodique
7;Norther;Death Metal Mélodique
7;Insomnium;Death Metal Mélodique
9;Aes Dana;Electro / Ambient
10;Air;Electro / Downtempo
13;ABBA;Folk / Pop / Rock
13;Blondie;Folk / Pop / Rock
13;Leonard Cohen;Folk / Pop / Rock
13;Tori Amos;Folk / Pop / Rock
13;Simon & Garfunkel;Folk / Pop / Rock
13;Bob Dylan;Folk / Pop / Rock
13;The Band;Folk / Pop / Rock
13;Bruce Springsteen;Folk / Pop / Rock
13;Neil Young;Folk / Pop / Rock
29;U2;Pop Rock
16;Eric Johnson;Guitare
16;Joe Satriani;Guitare
16;John Petrucci;Guitare
17;Queensrÿche;Hard Rock / Heavy Metal
18;Eminem;Hip-Hop
18;Kanye West;Hip-Hop
18;Nas;Hip-Hop
18;Noname;Hip-Hop
20;Soda Stereo;Indie Pop / Indie Rock
20;Sonic Youth;Indie Pop / Indie Rock
20;Stephen Malkmus;Indie Pop / Indie Rock
20;Vampire Weekend;Indie Pop / Indie Rock
20;Wild Nothing;Indie Pop / Indie Rock
21;Bill Evans;Jazz / Classique
21;Bill Evans Trio;Jazz / Classique
21;Chick Corea;Jazz / Classique
21;Herbie Hancock;Jazz / Classique
21;John Coltrane;Jazz / Classique
21;Keith Jarrett;Jazz / Classique
21;Keith Jarrett Trio;Jazz / Classique
21;Sonny Clark;Jazz / Classique
21;Sonny Clark Trio;Jazz / Classique
21;Sonny Rollins;Jazz / Classique
24;Leprous;Metal Progressif / Death Metal
31;TC & I;Post-Punk / New Wave
31;Talking Heads;Post-Punk / New Wave
36;Janelle Monáe;R&B
38;Frank Zappa;Rock Progressif
40;Grateful Dead;Rock Psychédélique
2;Eurythmics;Art Pop / Synthpop
38;Gentle Giant;Rock Progressif
36;Frank Ocean;R&B
